,zillow_id,latitude,longitude,year_built,bathrooms,bedrooms,last_sold_date,last_sold_price,property size,home_size
3192,79847040,37.786235,-122.389068,2006,2.0,2,01/16/2015,1500000,,1128
3193,79847698,37.762079,-122.389014,2007,2.5,3,08/10/2015,1500000,,1335
3194,80730936,37.778294,-122.396311,1916,2.0,2,11/05/2015,1495000,,1497
3195,80732761,37.782775,-122.389686,1996,2.0,2,03/14/2014,1495000,,1300
3196,80733101,37.780767,-122.402142,2001,2.0,2,09/08/2015,1515000,,838
3197,80733450,37.775157,-122.414436,1996,2.0,2,03/02/2015,1525000,,2010
3198,80733859,37.778163,-122.395774,1916,1.0,2,03/31/2015,1475000,,1896
3199,80734665,37.778152,-122.407806,1999,2.0,2,12/20/2015,1475000,2500,2198
3200,80737413,37.782775,-122.389686,1996,2.0,2,08/18/2014,1485000,,1456
3201,80742575,37.781016,-122.39507,2002,2.5,3,02/17/2015,1500000,,1460
3202,80743040,37.781016,-122.39507,2002,2.5,3,12/16/2015,1475000,,1456
3203,80743117,37.762136,-122.408479,1999,2.0,2,05/22/2015,1500000,,1596
3204,80745109,37.780632,-122.389625,2000,2.0,2,06/23/2015,1508000,,1165
3205,80749566,37.78096,-122.391555,1996,1.5,1,11/05/2015,1475000,,1798
3206,80755336,37.780632,-122.389625,2000,2.0,2,09/12/2014,1511000,,1115
3207,82785533,37.773891,-122.421875,2008,1.0,1,12/30/2014,1510000,,847
3208,82785624,37.778088,-122.445264,1905,2.0,4,03/30/2015,1495000,3781,1976
3209,82785645,37.772941,-122.44868,1904,3.0,3,06/09/2014,1495000,,1853
3210,82785931,37.778705,-122.412635,2008,2.0,2,01/22/2016,1475000,,1201
3211,82786192,37.777012,-122.395737,2006,2.0,2,03/17/2015,1485000,,1472
3212,82786526,37.773566,-122.396056,2007,2.0,2,09/08/2015,1530000,,1630
3213,82786558,37.773384,-122.395759,2007,2.0,2,07/10/2015,1485000,,1
3214,82789835,37.765224,-122.434455,1933,1.0,2,07/07/2015,1500000,,1420
