,latitude,longitude,year_built,bathrooms,bedrooms,last_sold_date,last_sold_price,property size,home_size
4524,37.712214,-122.399125,1924,1.0,3,03/19/2015,736000,3197,1000
4525,37.71137,-122.39755,1937,2.0,3,08/29/2013,725000,2265,1700
4526,37.710458,-122.396152,1972,2.0,4,10/28/2014,735000,3271,1375
4527,37.735509,-122.388068,1940,2.0,4,01/15/2016,720000,2500,1175
4528,37.736291,-122.392787,1965,3.0,,10/01/2015,720000,2482,2321
4529,37.735825,-122.394701,1948,1.0,,05/05/2015,730000,2495,1372
4530,37.732938,-122.396855,1927,1.0,2,11/04/2015,720000,2831,887
4531,37.735503,-122.397062,1964,2.0,3,02/05/2016,725000,3070,1297
4532,37.733399,-122.392683,1927,1.0,2,08/19/2015,735000,2495,1085
4533,37.731105,-122.388644,1916,2.0,3,05/23/2014,725000,3746,1680
4534,37.731429,-122.390882,1907,1.5,3,07/24/2015,725000,2500,1125
4535,37.734151,-122.400122,1941,3.0,3,12/05/2014,737000,102801600,1720
4536,37.73555,-122.398209,1942,3.0,4,10/09/2014,740000,1820,1371
4537,37.733047,-122.402149,1940,1.0,2,07/02/2014,720000,2457,1196
4538,37.727307,-122.398777,1998,2.0,3,06/26/2015,740000,1500,1394
4539,37.748247,-122.407411,1922,1.0,3,11/07/2014,720000,2613,1400
4540,37.744374,-122.406499,1890,1.0,1,02/04/2015,730000,1742,625
4541,37.744636,-122.406757,1906,1.0,1,11/26/2014,740000,1763,940
4542,37.740225,-122.41781,1926,1.0,1,07/19/2013,740000,997,460
4543,37.741796,-122.421512,1900,2.0,4,06/20/2014,720000,1295,1981
4544,37.739492,-122.410613,1946,1.0,3,04/15/2014,725000,871,896
4545,37.736718,-122.411831,1916,1.0,2,12/08/2015,725000,1750,1150
4546,37.733204,-122.408518,1947,2.0,4,04/28/2014,720000,1873,1319
4547,37.730425,-122.416758,1942,1.0,2,12/18/2015,720000,2439,850
4548,37.720152,-122.410011,1951,1.0,,10/11/2013,720000,2996,836
4549,37.722178,-122.403378,1928,1.0,,01/12/2016,730000,1873,1250
4550,37.722019,-122.402045,1925,1.0,,01/23/2015,738000,2996,1375
4551,37.721888,-122.401991,1965,3.0,,12/03/2014,720000,2996,1861
4552,37.720018,-122.403497,1965,2.0,3,02/06/2015,730000,2775,1375
4553,37.720435,-122.403573,1952,1.0,,02/11/2016,725000,2996,836
4554,37.718896,-122.406166,1985,3.5,4,06/21/2013,730000,2500,2020
4555,37.717645,-122.401929,1958,1.0,,05/13/2015,725000,2604,1175
4556,37.717603,-122.404572,1958,2.0,3,08/12/2015,730000,2495,1404
4557,37.717328,-122.40076,1926,2.0,5,04/08/2014,720000,2996,1217
4558,37.717472,-122.401311,1959,1.0,2,10/30/2015,725000,2178,956
4559,37.715076,-122.404903,1978,2.5,3,10/03/2014,733000,2500,2100
4560,37.714268,-122.403153,1961,2.0,4,06/27/2013,720000,1873,1990
4561,37.713533,-122.406244,1909,2.0,3,08/16/2013,735000,2382,2108
4562,37.714011,-122.411879,1948,2.0,3,09/17/2014,720000,2495,1600
4563,37.711134,-122.405326,1927,1.0,2,06/01/2015,721000,2639,1250
4564,37.712197,-122.407908,1980,3.0,4,04/08/2014,740000,2642,2025
4565,37.708477,-122.416835,1952,1.5,2,09/03/2015,730000,2631,1063
4566,37.709378,-122.421847,1944,2.0,4,10/02/2015,735000,2000,1636
4567,37.709964,-122.423262,1956,2.0,3,07/31/2015,720000,6385,1144
4568,37.715644,-122.433303,1951,1.0,2,07/24/2014,730000,2495,2710
4569,37.714422,-122.434611,1922,2.0,2,11/06/2014,720000,2510,1370
4570,37.712074,-122.434957,1915,2.0,2,02/05/2014,725000,2382,2333
4571,37.713348,-122.442859,1927,2.0,2,09/04/2014,735000,1751,1315
4572,37.7109,-122.440192,1929,2.0,2,04/18/2014,728000,3049,1374
4573,37.7109,-122.440192,1929,2.0,2,04/18/2014,728000,3049,1374
4574,37.711154,-122.44087,1949,2.0,3,09/30/2014,725000,1751,1350
4575,37.708619,-122.445118,1926,1.0,2,04/30/2013,726000,2064,1591
4576,37.749248,-122.438152,1908,2.0,,03/30/2015,725000,2100,2090
4577,37.744589,-122.422112,1909,2.0,,07/25/2013,725000,2143,2131
4578,37.731864,-122.436707,1910,6.0,8,07/10/2013,720000,2522,3203
4579,37.729015,-122.435765,1941,1.0,2,11/27/2013,725000,2162,1175
4580,37.731446,-122.429069,1939,2.0,2,08/06/2015,730000,2037,1475
4581,37.722294,-122.460541,1926,1.0,,07/23/2013,730000,2813,1290
4582,37.722696,-122.449984,1946,1.0,2,06/12/2013,720000,1685,1362
4583,37.718473,-122.444498,1930,1.0,2,07/18/2014,728500,1875,1345
4584,37.719505,-122.445759,1987,1.0,2,01/28/2016,738000,1680,840
4585,37.720294,-122.453327,1947,1.0,2,01/11/2016,720000,1742,1087
4586,37.718473,-122.469218,1928,2.0,3,09/09/2013,730000,2495,1894
4587,37.718736,-122.461549,1951,1.0,3,07/30/2015,735000,2813,1025
4588,37.718476,-122.454862,1923,4.0,6,01/29/2014,730000,1742,1750
