"zillow_id","latitude","longitude","year_built","bathrooms","bedrooms","last_sold_date","last_sold_price","home_type","tax_year","tax_value","home_size","zipcode","list","url","property_size","log_last_sold_price","log_home_size","log_property_size","sf_location$cluster","location_cluster","log_tax_value"
15071846,37.796844,-122.439371,1923,1,1,2013-12-03,675000,"MultiFamily2To4",2015,655750,750,94123,NA,NA,NA,13.4224679698547,6.62007320653036,NA,13,"13",13.3935348977291
15071847,37.796844,-122.439371,1923,1,1,2013-12-03,675000,"Condominium",2015,699459,870,94123,NA,NA,3000,13.4224679698547,6.76849321164863,8.00636756765025,13,"13",13.4580624580746
15073954,37.792902,-122.429119,1959,1,1,2014-08-05,683500,"SingleFamily",2015,683500,640,94109,NA,NA,NA,13.4349819351461,6.46146817635372,NA,13,"13",13.4349819351461
15074998,37.789731,-122.424903,1924,1,1,2015-03-26,690000,"Condominium",2015,483308,660,94109,NA,NA,NA,13.4444468765734,6.49223983502047,NA,12,"12",13.0884094105619
15075194,37.788649,-122.432728,1900,2,2,2014-04-15,698888,"MultiFamily2To4",2014,2043565,860,94115,NA,NA,2221,13.4572457794795,6.75693238924755,7.70571282389443,13,"13",14.5302063896529
15076450,37.78675,-122.424235,1993,1,1,2015-11-19,690000,"Condominium",2015,539304,650,94109,NA,NA,NA,13.4444468765734,6.47697236288968,NA,12,"12",13.1980346983199
15152084,37.753905,-122.40202,1989,1,2,2015-12-30,675000,"Condominium",2015,539304,809,94107,NA,NA,NA,13.4224679698547,6.69579891705849,NA,14,"14",13.1980346983199
15152206,37.752157,-122.399676,1984,1,3,2015-03-20,699000,"Condominium",2015,522548,1109,94107,NA,NA,880,13.4574060212159,7.01121398735037,6.77992190747225,14,"14",13.1664721246304
15152231,37.752727,-122.393331,1998,3,3,2013-11-01,679500,"Condominium",2015,692770,1478,94107,NA,NA,NA,13.4291125125733,7.29844510150815,NA,14,"14",13.4484533327524
15152717,37.751043,-122.401567,1925,1,2,2013-06-20,694000,"SingleFamily",2015,710974,900,94107,NA,NA,2500,13.4502272394889,6.80239476332431,7.82404601085629,14,"14",13.474391139903
15152844,37.751369,-122.399501,1984,1,2,2014-10-03,683000,"Condominium",2015,683000,956,94107,NA,NA,706,13.4342501385529,6.8627579130514,6.55961523749324,14,"14",13.4342501385529
15180228,37.751006,-122.427638,1907,1,2,2013-08-21,680000,"Condominium",2015,2195826,1132,94114,NA,NA,2250,13.4298480771523,7.03174125876313,7.71868549519847,4,"4",14.6020688434996
51082404,37.805739,-122.438965,1926,1,1,2014-09-04,672000,"Condominium",2015,672000,554,94123,NA,NA,NA,13.4180136195053,6.31716468674728,NA,13,"13",13.4180136195053
53153202,37.792925,-122.42174,2000,1,1,2014-06-13,690000,"Condominium",2015,703786,807,94109,NA,NA,NA,13.4444468765734,6.69332366826995,NA,12,"12",13.464229611657
59700398,37.762829,-122.41323,2001,2,1,2013-07-25,685000,"Condominium",2015,698686,970,94110,NA,NA,NA,13.4371741172444,6.87729607149743,NA,14,"14",13.4569567071278
59779897,37.774375,-122.399585,1998,2,2,2013-11-21,695000,"Condominium",2015,708884,890,94107,NA,NA,NA,13.4516671245469,6.79122146272619,NA,10,"10",13.4714471814092
59779944,37.765014,-122.394343,1999,2,1,2014-07-16,680000,"Condominium",2015,567846,850,94107,NA,NA,4133,13.4298480771523,6.74523634948436,8.32675881451173,14,"14",13.2496055341812
59779946,37.765014,-122.394343,1999,1.5,1,2014-05-09,675000,"Condominium",2015,688484,836,94107,NA,NA,4133,13.4224679698547,6.7286286130847,8.32675881451173,14,"14",13.4422473579556
59780008,37.753903,-122.393098,2001,1.5,1,2014-10-23,685000,"Condominium",2015,685000,784,94107,NA,NA,NA,13.4371741172444,6.66440902035041,NA,14,"14",13.4371741172444
60554625,37.776385,-122.4457,2002,1,1,2014-09-29,675000,"Condominium",2015,675000,642,94118,NA,NA,NA,13.4224679698547,6.46458830368996,NA,1,"1",13.4224679698547
61288449,37.784195,-122.396605,2002,1.5,1,2013-05-20,690000,"Condominium",2015,706980,1064,94107,NA,NA,NA,13.4444468765734,6.96979066990159,NA,10,"10",13.4687576559354
61325378,37.753681,-122.390415,2002,2,1,2013-07-11,690000,"Condominium",2015,703786,945,94107,NA,NA,NA,13.4444468765734,6.85118492749374,NA,14,"14",13.464229611657
63194471,37.793532,-122.41083,1984,1,1,2014-06-09,690000,"MultiFamily2To4",2015,703785,915,94108,NA,NA,NA,13.4444468765734,6.81892406527552,NA,12,"12",13.4642281907695
63196474,37.805426,-122.424814,1965,1,1,2013-06-21,699000,"Cooperative",2015,716201,700,94109,NA,NA,NA,13.4574060212159,6.5510803350434,NA,12,"12",13.4817161328035
63197090,37.772655,-122.411499,2003,1,2,2014-08-28,681000,"Condominium",2015,681000,730,94103,NA,NA,NA,13.4313175851316,6.59304453414244,NA,9,"9",13.4313175851316
64969365,37.777936,-122.405393,2001,2,1,2013-06-04,680000,"Condominium",2015,696733,1054,94103,NA,NA,NA,13.4298480771523,6.96034772910131,NA,10,"10",13.4541575460512
64969898,37.771585,-122.418825,2002,1,1,2015-03-26,695100,"Condominium",2015,555766,795,94103,NA,NA,NA,13.4518109990886,6.67834211465433,NA,9,"9",13.2281026213355
64971330,37.79015,-122.40588,1908,1,1,2013-09-10,690000,"Condominium",2015,703786,656,94108,NA,NA,NA,13.4444468765734,6.48616078894409,NA,10,"10",13.464229611657
64971792,37.787031,-122.393642,2004,1,1,2013-08-16,678000,"Condominium",2015,691546,675,94105,NA,NA,NA,13.4269025669225,6.51471269087253,NA,10,"10",13.446684949928
64971864,37.796385,-122.420727,1982,1,1,2013-11-01,682500,"Condominium",2015,696135,777,94109,NA,NA,NA,13.4335178060413,6.65544035036765,NA,12,"12",13.4532988860249
64972670,37.787029,-122.3936,2004,1,1,2013-11-06,689000,"Condominium",2015,702766,675,94105,NA,NA,NA,13.4429965499958,6.51471269087253,NA,10,"10",13.4627792562079
67394276,37.78691,-122.390925,2002,1,1,2015-11-24,699000,"Condominium",2015,512154,694,94105,NA,NA,NA,13.4574060212159,6.5424719605068,NA,10,"10",13.146380640046
67394837,37.771683,-122.411809,2004,1,1,2014-05-02,682000,"Condominium",2015,695626,801,94103,NA,NA,NA,13.4327849368256,6.68586094706836,NA,9,"9",13.4525674385671
67394927,37.771683,-122.411809,2004,1,1,2013-08-19,680000,"Condominium",2015,646562,830,94103,NA,NA,NA,13.4298480771523,6.72142570079064,NA,9,"9",13.3794243736013
69817591,37.796385,-122.420727,1982,1,1,2013-06-04,672000,"Condominium",2015,688536,682,94109,NA,NA,NA,13.4180136195053,6.52502965784346,NA,12,"12",13.4423228833656
69817886,37.783594,-122.390725,2004,1,1,2014-01-14,681000,"MultiFamily2To4",2015,694606,732,94107,NA,NA,NA,13.4313175851316,6.59578051396131,NA,10,"10",13.4511000573199
69818871,37.79929,-122.404286,1912,1,1,2013-06-12,695000,"Condominium",2015,712102,714,94133,NA,NA,NA,13.4516671245469,6.57088296233958,NA,12,"12",13.4759764385606
69819232,37.786413,-122.396372,2006,1,1,2015-09-09,675000,"Condominium",2015,469305,637,94105,NA,NA,NA,13.4224679698547,6.45676965557216,NA,10,"10",13.0590081558915
69819434,37.777645,-122.39343,2004,1,1,2014-10-22,690000,"Condominium",2015,685000,822,94107,NA,NA,NA,13.4444468765734,6.71174039505618,NA,10,"10",13.4371741172444
69819451,37.777645,-122.39343,2004,1,1,2013-07-12,687000,"Condominium",2015,700726,822,94107,NA,NA,NA,13.4400895712045,6.71174039505618,NA,10,"10",13.4598722194216
69819603,37.777641,-122.393417,2004,1,1,2015-02-27,680000,"Condominium",2015,639048,814,94107,NA,NA,NA,13.4298480771523,6.70196036600254,NA,10,"10",13.3677348479094
69819802,37.777641,-122.393417,2004,1,1,2014-03-25,690000,"Condominium",2015,703784,965,94107,NA,NA,NA,13.4444468765734,6.87212810133899,NA,10,"10",13.46422676988
69819828,37.777641,-122.393417,2004,1,1,2013-10-18,685000,"Condominium",2015,698686,908,94107,NA,NA,NA,13.4371741172444,6.81124437860129,NA,10,"10",13.4569567071278
69820163,37.777645,-122.39343,2004,1,1,2014-10-17,690000,"Apartment",2015,690000,862,94107,NA,NA,NA,13.4444468765734,6.75925527066369,NA,10,"10",13.4444468765734
69820171,37.777641,-122.393417,2004,1,1,2013-09-24,699000,"Condominium",2015,712966,868,94107,NA,NA,NA,13.4574060212159,6.76619171466035,NA,10,"10",13.4771890124249
71713705,37.786148,-122.394291,2006,1.5,1,2015-03-11,686000,"Condominium",2015,654650,714,94105,NA,NA,NA,13.438632906708,6.57088296233958,NA,10,"10",13.3918560206559
15063957,37.804401,-122.404265,1975,1,1,2014-02-04,675000,"MultiFamily2To4",2015,688486,800,94111,NA,NA,NA,13.4224679698547,6.68461172766793,NA,12,"12",13.4422502628846
79843966,37.790184,-122.421348,2006,2,2,2013-05-01,698000,"Condominium",2015,750744,999,94109,NA,NA,NA,13.4559743817445,6.90675477864855,NA,12,"12",13.5288199938056
79844024,37.773441,-122.438758,2007,1,1,2014-03-03,695000,"Condominium",2015,708884,672,94117,NA,NA,NA,13.4516671245469,6.51025834052315,NA,1,"1",13.4714471814092
79844760,37.779422,-122.396712,2006,1,1,2014-08-01,675500,"Condominium",2015,675011,700,94107,NA,NA,NA,13.4232084363824,6.5510803350434,NA,10,"10",13.4224842660182
79845989,37.778057,-122.43251,1999,1,1,2014-11-26,682500,"Condominium",2015,682500,663,94117,NA,NA,NA,13.4335178060413,6.49677499018586,NA,9,"9",13.4335178060413
80731988,37.777641,-122.393417,2004,1,1,2014-06-02,690000,"Condominium",2015,703786,882,94107,NA,NA,NA,13.4444468765734,6.78219205600679,NA,10,"10",13.464229611657
80732039,37.776382,-122.445739,2002,1,1,2015-09-30,690000,"Condominium",2015,465070,605,94118,NA,NA,NA,13.4444468765734,6.40522845803084,NA,1,"1",13.0499432108742
80732947,37.778884,-122.393287,2003,3.3,2,2014-02-28,699000,"SingleFamily",2015,712965,908,94107,NA,NA,NA,13.4574060212159,6.81124437860129,NA,10,"10",13.4771876098325
80734146,37.778373,-122.40319,2000,1.5,2,2013-08-16,678000,"Condominium",2015,691545,1042,94107,NA,NA,NA,13.4269025669225,6.94889722231331,NA,10,"10",13.4466835038915
80734647,37.778373,-122.40319,2000,1.5,1,2013-10-11,695000,"Condominium",2015,708885,911,94107,NA,NA,NA,13.4516671245469,6.81454289725996,NA,10,"10",13.4714485920763
80735069,37.776382,-122.445739,2002,1,1,2015-01-16,695000,"Condominium",2015,652126,683,94118,NA,NA,NA,13.4516671245469,6.52649485957079,NA,1,"1",13.3879930737719
80738153,37.777996,-122.403968,1996,1,1,2013-05-31,675000,"Condominium",2015,691610,989,94107,NA,NA,4344,13.4224679698547,6.89669433162271,8.37655086161377,10,"10",13.4467774919117
89236523,37.786064,-122.392173,2008,1,1,2013-08-02,699000,"Condominium",2015,712966,605,94105,NA,NA,NA,13.4574060212159,6.40522845803084,NA,10,"10",13.4771890124249
89238327,37.764766,-122.456226,1928,1,1,2013-06-05,680000,"Condominium",2015,696734,741,94117,NA,NA,NA,13.4298480771523,6.60800062529609,NA,1,"1",13.4541589813202
89239105,37.764114,-122.402984,2007,1,1,2013-11-08,673000,"Condominium",2015,686372,692,94107,NA,NA,NA,13.4195006086269,6.53958595561767,NA,14,"14",13.4391750337831
89240021,37.786064,-122.392173,2008,1,1,2013-09-12,681000,"Condominium",2015,694606,605,94105,NA,NA,NA,13.4313175851316,6.40522845803084,NA,10,"10",13.4511000573199
89240119,37.789521,-122.412276,1909,1,2,2013-08-15,699000,"Condominium",2015,712966,609,94109,NA,NA,NA,13.4574060212159,6.4118182677099,NA,12,"12",13.4771890124249
15064880,37.80347,-122.40409,1983,1,1,2014-05-02,690000,"Condominium",2015,703786,789,94111,NA,NA,NA,13.4444468765734,6.67076632084587,NA,12,"12",13.464229611657
96013857,37.773929,-122.39624,2009,1,1,2014-01-24,685000,"MultiFamily2To4",2015,698686,670,94158,NA,NA,NA,13.4371741172444,6.50727771238501,NA,10,"10",13.4569567071278
96022680,37.773929,-122.39624,2009,1,1,2013-09-20,695000,"Condominium",2015,708886,730,94158,NA,NA,NA,13.4516671245469,6.59304453414244,NA,10,"10",13.4714500027413
96034817,37.773929,-122.39624,2009,1,1,2013-08-15,675000,"Condominium",2015,688486,664,94158,NA,NA,NA,13.4224679698547,6.49828214947643,NA,10,"10",13.4422502628846
96037099,37.788707,-122.418395,2009,1,1,2014-06-20,695000,"Condominium",2015,708886,605,94109,NA,NA,NA,13.4516671245469,6.40522845803084,NA,12,"12",13.4714500027413
15152554,37.75083,-122.410118,1906,1,2,2014-01-03,698000,"SingleFamily",2015,1061945,800,94110,NA,NA,1873,13.4559743817445,6.68461172766793,7.53529670244409,14,"14",13.8756126903657
111930174,37.785747,-122.397399,2000,1,1,2014-03-05,685000,"Condominium",2015,698686,668,94105,NA,NA,NA,13.4371741172444,6.50428817353665,NA,10,"10",13.4569567071278
113498618,37.762137,-122.429257,1928,1,1,2014-07-03,685000,"Condominium",2015,685000,733,94114,NA,NA,3210,13.4371741172444,6.59714570188665,8.07402621612406,4,"4",13.4371741172444
15065489,37.79996,-122.418455,1910,1,1,2014-03-14,678000,"Condominium",2015,691546,620,94109,NA,NA,NA,13.4269025669225,6.42971947803914,NA,12,"12",13.446684949928
121150374,37.781719,-122.439437,2013,1,1,2015-05-08,690000,"Condominium",2015,590568,595,94115,NA,NA,NA,13.4444468765734,6.38856140554563,NA,13,"13",13.2888400646364
121150417,37.781719,-122.439437,2013,1,1,2013-09-27,679000,"Condominium",2015,692566,679,94115,NA,NA,NA,13.4283764065408,6.5206211275587,NA,13,"13",13.4481588193614
121337080,37.798484,-122.405227,1906,1,2,2013-11-07,675100,"Condominium",2015,688410,1008,94133,NA,NA,NA,13.42261610703,6.91572344863131,NA,12,"12",13.4421398696521
122063823,37.788482,-122.432846,1885,1,2,2014-04-15,699000,"Condominium",2015,712850,963,94115,NA,NA,NA,13.4574060212159,6.87005341179813,NA,13,"13",13.4770262985821
122064124,37.80341,-122.426308,1924,1,1,2013-10-09,680000,"Condominium",2015,693584,763,94123,NA,NA,NA,13.4298480771523,6.63725803128446,NA,12,"12",13.4496276361316
122064194,37.751705,-122.417595,1908,1,2,2014-07-24,682000,"Condominium",2015,682000,877,94110,NA,NA,3738,13.4327849368256,6.77650699237218,8.22630598801551,7,"7",13.4327849368256
122064356,37.773538,-122.447599,1890,1,1,2014-05-07,675000,"Condominium",2015,688486,818,94117,NA,NA,NA,13.4224679698547,6.70686233660275,NA,1,"1",13.4422502628846
123174739,37.788066,-122.418065,2014,1,2,2014-01-31,679000,"Condominium",2015,692566,750,94109,NA,NA,NA,13.4283764065408,6.62007320653036,NA,12,"12",13.4481588193614
123174819,37.777362,-122.42324,2014,1,1,2014-01-24,685000,"Condominium",2015,698686,655,94102,NA,NA,NA,13.4371741172444,6.48463523563525,NA,9,"9",13.4569567071278
123174905,37.777362,-122.42324,2014,1,1,2014-01-29,689000,"Condominium",2015,702562,692,94102,NA,NA,NA,13.4429965499958,6.53958595561767,NA,9,"9",13.4624889325234
123174922,37.777362,-122.42324,2014,1,1,2014-02-10,687000,"Condominium",2015,700522,658,94102,NA,NA,NA,13.4400895712045,6.48920493132532,NA,9,"9",13.4595810504045
123175017,37.788066,-122.418065,2014,1,3,2014-01-24,672500,"Condominium",2015,685883,750,94109,NA,NA,NA,13.4187573904581,6.62007320653036,NA,12,"12",13.4384623382262
15079061,37.771646,-122.428283,1904,2,2,2014-06-30,1678000,"Condominium",2014,2178839,1700,94102,NA,NA,2696,14.3331131660093,7.43838353004431,7.8995244720322,9,"9",14.5943027240928
123597251,37.760581,-122.387846,2013,1,1,2014-01-16,695000,"Condominium",2015,708886,770,94107,NA,NA,NA,13.4516671245469,6.64639051484773,NA,14,"14",13.4714500027413
123597366,37.788066,-122.418065,2014,1,2,2014-01-17,699000,"Condominium",2015,712890,750,94109,NA,NA,NA,13.4574060212159,6.62007320653036,NA,12,"12",13.4770824097945
123597384,37.760581,-122.387846,2013,1,1,2014-01-09,689000,"Condominium",2015,702766,770,94107,NA,NA,NA,13.4429965499958,6.64639051484773,NA,14,"14",13.4627792562079
123597832,37.765971,-122.437354,1907,1,2,2014-06-03,680000,"Condominium",2015,693586,871,94114,NA,NA,NA,13.4298480771523,6.7696419768525,NA,4,"4",13.4496305197004
123597964,37.781154,-122.401649,2010,1,1,2015-12-07,675000,"Condominium",2015,576288,557,94107,NA,NA,NA,13.4224679698547,6.32256523992728,NA,10,"10",13.2643628147197
123598480,37.760581,-122.387846,2013,1,1,2013-12-20,674000,"Condominium",2015,687466,770,94107,NA,NA,NA,13.4209853898944,6.64639051484773,NA,14,"14",13.4407676527545
124397889,37.769856,-122.426551,2014,1,1,2014-03-26,695000,"Condominium",2015,708884,636,94102,NA,NA,NA,13.4516671245469,6.45519856334012,NA,9,"9",13.4714471814092
