"zillow_id","latitude","longitude","year_built","bathrooms","bedrooms","last_sold_date","last_sold_price","home_type","tax_year","tax_value","home_size","zipcode","list","url","property_size","log_last_sold_price","log_tax_value","log_home_size","log_property_size","location_cluster"
30586766,40.674369,-73.973795,1915,1,2,2016-01-13,849000,"Cooperative",2015,1225000,5000,11217,NA,NA,1925,13.6518144652935,14.018451401961,8.51719319141624,7.56268124672188,"14"
32079158,40.734674,-73.775015,1955,2,4,2016-01-08,849000,"MultiFamily2To4",2015,731000,1872,11366,NA,NA,3000,13.6518144652935,13.5021687387319,7.53476265703754,8.00636756765025,"6"
32079923,40.731095,-73.776315,1955,1.5,4,2013-07-20,800000,"SingleFamily",2015,833000,1776,11366,NA,NA,5000,13.5923670066501,13.632788921149,7.48211892355212,8.51719319141624,"6"
30600418,40.68071,-73.91574,1920,2.5,5,2015-10-20,555000,"MultiFamily2To4",2015,591000,2160,11233,NA,NA,1799,13.2267233927286,13.2895712963882,7.67786350067821,7.49498623395053,"14"
30627592,40.69862,-73.913395,1931,1,2,2013-12-13,775000,"MultiFamily2To4",2007,408000,4125,11237,NA,NA,1875,13.5606183083355,12.9190224533863,8.32482129876878,7.53636393840451,"14"
32098077,40.762435,-73.720735,1950,3,3,2016-02-19,870000,"SingleFamily",2015,775000,2079,11362,NA,NA,4129,13.6762484906308,13.5606183083355,7.63964228785801,8.32579052588609,"12"
120287585,40.714826,-74.006326,2010,1,1,2012-09-05,1040000,"Condominium",2014,278570,785,10007,"$1,598,000","http://www.zillow.com/homes/for_sale/120287585_zpid",NA,13.8547312711176,12.5374246532663,6.66568371778241,NA,"8"
32159569,40.696495,-73.751405,1950,3,3,2015-10-27,410000,"SingleFamily",2015,413000,4118,11412,NA,NA,4116,12.9239124386805,12.9312028719432,8.32312288758773,8.32263709695394,"6"
32294515,40.595535,-74.103495,1930,1.5,3,2015-06-12,880000,"SingleFamily",2015,780000,2700,10304,NA,NA,5250,13.6876771864544,13.5670491986658,7.90100705199242,8.56598335558567,"13"
89333231,40.717556,-73.98362,2007,1,1,2013-08-27,560037,"Condominium",2014,166992,664,10002,NA,NA,664,13.2357581319573,12.0257011860598,6.49828214947643,6.49828214947643,"8"
30579170,40.63942,-74.01194,1910,1,3,2014-12-19,998000,"MultiFamily2To4",2015,887000,3144,11220,NA,NA,2003,13.8135085552936,13.6956002612917,8.0532511535491,7.60240133566582,"7"
32294228,40.59755,-74.09871,1960,3,0,2014-08-12,1200000,"SingleFamily",2015,718000,3785,10304,NA,NA,6000,13.9978321147582,13.4842248480304,8.23880116587155,8.69951474821019,"13"
30713930,40.60489,-74.009625,1950,2,3,2014-09-08,650000,"MultiFamily2To4",2015,732000,1668,11214,NA,NA,2308,13.3847276418718,13.5035357929434,7.41938058291869,7.74413662762799,"7"
32036856,40.758645,-73.83514,1920,3.5,6,2015-05-05,950000,"Duplex",2015,870000,1530,11354,NA,NA,1740,13.7642172635767,13.6762484906308,7.33302301438648,7.46164039220858,"5"
55502336,40.752578,-73.967521,2001,2.5,2,2015-11-23,2700000,"Condominium",2010,442242,1613,10017,NA,NA,NA,14.8087623309746,12.9996125225424,7.38585107812521,NA,"2"
119155735,40.72694,-73.802246,2012,2,5,2013-09-10,797208,"Duplex",2015,849000,1344,11366,NA,NA,2755,13.5888709023934,13.6518144652935,7.20340552108309,7.92117272158701,"6"
58578611,40.558093,-74.196366,1999,4,3,2000-06-13,290000,"Townhouse",2015,470000,2340,10312,"$444,900","http://www.zillow.com/homes/for_sale/58578611_zpid",4960,12.5776362019627,13.0604879736862,7.75790620835175,8.50916101971897,"13"
89332416,40.835269,-73.945324,1920,1,1,2013-09-06,335000,"Apartment",2014,56350,650,10032,NA,NA,NA,12.7218858108072,10.9393375194679,6.47697236288968,NA,"11"
32370733,40.535673,-74.209823,2001,2.5,3,2015-06-04,490000,"Townhouse",2015,498000,1890,10309,NA,NA,2328,13.1021606700868,13.1183553560068,7.54433210805369,7.75276480885133,"13"
29825345,40.87165,-73.86412,1920,3,2,2013-11-15,550000,"SingleFamily",2007,287000,2826,10467,NA,NA,2500,13.2176735572087,12.5672374947418,7.94661756324447,7.82404601085629,"3"
30642186,40.685469,-73.87439,1901,4,6,2014-10-20,553250,"SingleFamily",2015,446000,2350,11208,NA,NA,2000,13.2235652579133,13.0080742310022,7.7621706071382,7.60090245954208,"4"
32164911,40.70103,-73.741064,1940,1.5,2,2015-09-09,290000,"SingleFamily",2015,296000,1552,11411,NA,NA,1968,12.5776362019627,12.5981147333062,7.34729970074316,7.5847730776122,"12"
31938774,40.76871,-73.922069,2014,1,1,2015-05-15,998750,"Condominium",2013,423000,731,11102,NA,NA,3050,13.8142597760626,12.9551274580284,6.59441345974978,8.02289686960146,"9"
32114984,40.67972,-73.84735,1920,2,3,2013-08-27,398000,"SingleFamily",2015,424000,1248,11417,NA,NA,2500,12.8942072842666,12.9574887342141,7.12929754892937,7.82404601085629,"4"
29812167,40.84106,-73.852405,1960,1,2,2010-10-29,285000,"SingleFamily",2015,302000,1010,10462,"$340,000","http://www.zillow.com/homes/for_sale/29812167_zpid",1659,12.5602444592508,12.618182296357,6.9177056098353,7.41397029019044,"3"
31516665,40.760284,-73.995392,1988,1,1,2014-08-12,836000,"Condominium",2015,191168,679,10036,NA,NA,21875,13.6363838920668,12.1609079015758,6.5206211275587,9.99309971122582,"2"
32356470,40.543335,-74.173305,1960,1.5,3,2015-07-10,427000,"SingleFamily",2015,399000,1280,10312,NA,NA,33,12.9645392922108,12.896716695872,7.15461535691366,3.49650756146648,"13"
30700643,40.617336,-74.023305,1988,1,1,2014-07-16,385000,"Condominium",2015,352192,664,11228,NA,NA,NA,12.8609986132699,12.7719317604194,6.49828214947643,NA,"7"
30699345,40.618745,-74.01936,1920,2,3,2014-10-03,815000,"SingleFamily",2015,830000,1641,11228,NA,NA,2108,13.610943392223,13.6291809797728,7.40306109109009,7.65349490966125,"7"
31491755,40.709087,-74.017502,1986,2,2,2014-08-04,761000,"Condominium",2014,313861,1010,10280,NA,NA,NA,13.5423886368438,12.6567054917216,6.9177056098353,NA,"8"
30700651,40.61705,-74.0221,1965,1,2,2015-12-08,1150000,"SingleFamily",2015,772000,1000,11228,NA,NA,1731,13.9552725003394,13.5567398290069,6.90775527898214,7.45645455517621,"7"
115876818,40.70802,-73.939961,2009,2,2,2015-08-28,815000,"Condominium",2015,72263,825,11206,NA,NA,9375,13.610943392223,11.1880675205849,6.71538338633468,9.14580185083861,"14"
32037944,40.763452,-73.82796,1984,1,5,2015-07-31,665000,"Condominium",2015,114566,1000,11354,NA,NA,27000,13.407542319638,11.6489063551247,6.90775527898214,10.2035921449865,"5"
30573413,40.676545,-74.012734,1901,2,5,2016-03-22,111540,"SingleFamily",2015,757000,1500,11231,NA,NA,2140,11.6221385499435,13.5371185324196,7.3132203870903,7.6685611080159,"8"
30679862,40.61857,-73.978895,1920,1,3,2013-08-21,450000,"SingleFamily",2015,606000,1958,11204,NA,NA,2000,13.0170028617465,13.3146352650515,7.57967882309046,7.60090245954208,"7"
32041993,40.756105,-73.82034,1920,8,8,2014-01-29,1250000,"MultiFamily2To4",2015,906000,2713,11355,NA,NA,5375,14.0386541092785,13.7167945850251,7.90581031265893,8.58951385299586,"5"
31537276,40.773325,-73.956505,1899,3,4,1995-11-16,800000,"Townhouse",2015,4675000,2982,10075,"$5,900,000","http://www.zillow.com/homes/for_sale/31537276_zpid",1326,13.5923670066501,15.3577397207049,8.00034949532468,7.18992217074581,"9"
30772732,40.65048,-73.913209,1950,3,4,2008-11-14,620000,"MultiFamily2To4",2015,450000,2275,11236,"$450,000","http://www.zillow.com/homes/for_sale/30772732_zpid",1999,13.3374747570213,13.0170028617465,7.72973533138505,7.6004023345004,"14"
31943857,40.769149,-73.90576,1900,1,1,2013-12-30,600000,"MultiFamily2To4",2015,754000,1920,11105,NA,NA,3634,13.3046849341983,13.5331476469901,7.56008046502183,8.19808924895612,"9"
32222856,40.60222,-73.76017,1965,2,4,2015-07-29,450000,"SingleFamily",2015,413000,2504,11691,NA,NA,5488,13.0170028617465,12.9312028719432,7.82564473221999,8.61031916940572,"10"
29853161,40.903405,-73.897619,1940,2,3,2013-10-04,700000,"SingleFamily",2015,487000,1700,10471,NA,NA,4970,13.4588356140255,13.0960194020647,7.43838353004431,8.51117511909067,"3"
119076062,40.590037,-73.795687,2012,3.5,5,2013-06-14,627242,"SingleFamily",2015,535000,3174,11692,NA,NA,3370,13.349087710062,13.1900220258781,8.06274790108635,8.12266802334641,"10"
32040518,40.74695,-73.82679,1940,3.5,6,2014-05-16,850000,"MultiFamily2To4",2015,880000,3348,11355,NA,NA,2151,13.6529916284665,13.6876771864544,8.11611843160937,7.67368812926773,"5"
30570225,40.681895,-74.00077,1900,1,1,2013-08-28,3400000,"MultiFamily2To4",2015,574000,1000,11231,NA,NA,2000,15.0392859895864,13.2603846753017,6.90775527898214,7.60090245954208,"8"
31099224,40.757931,-73.682093,1969,4,4,2003-09-19,646000,"SingleFamily",2015,577600,2820,11040,"$925,000","http://www.zillow.com/homes/for_sale/31099224_zpid",8280,13.3785547827647,13.2666368665608,7.94449216393216,9.02159824737931,"12"
30672289,40.643845,-73.985265,1920,2,6,2015-11-19,750000,"MultiFamily2To4",2015,740000,2541,11218,NA,NA,1694,13.5278284855125,13.5144054651804,7.84031298332016,7.434847875212,"7"
32188143,40.673435,-73.776175,1955,1,1,2014-01-10,307500,"Townhouse",2015,474000,1306,11434,NA,NA,3690,12.6362303662287,13.0689626006772,7.17472430983638,8.21338173703457,"6"
