,zillow_id,latitude,longitude,year_built,bathrooms,bedrooms,last_sold_date,last_sold_price,property size,home_type,tax_year,tax_value,home_size,zipcode
4917,2103203150,37.7923,-122.422,,,,03/11/2014,753029,,Unknown,,,,94109
4918,2105263859,37.755839,-122.413058,1909,1.0,2,10/01/2013,740000,,Condominium,,,887,94110
4919,124397731,37.769856,-122.426551,2014,1.0,1,02/24/2016,845000,,Condominium,2015,749684.0,657,94102
4920,2106139193,37.785645,-122.454414,1929,2.0,2,08/11/2014,757500,,SingleFamily,,,,94118
4921,2106565037,37.773155,-122.408241,2002,1.5,1,11/25/2014,752000,,Condominium,,,1052,94103
4922,2107463854,37.798229,-122.421295,1914,1.0,1,06/03/2014,750000,,Condominium,,,,94109
4923,2109237825,37.775871,-122.39701,,2.0,1,02/18/2014,740000,,MultiFamily2To4,,,940,94107
4924,2110213176,37.76141,-122.436219,2005,1.0,1,12/09/2013,750000,,Condominium,,,791,94114
4925,2110757231,37.778291,-122.436754,,1.0,2,08/21/2013,750000,,MultiFamily2To4,,,1165,94115
4926,119684756,37.775386,-122.493743,1983,2.0,3,06/20/2013,750000,,Condominium,2015,768456.0,1293,94121
4927,79843055,37.792255,-122.401245,1909,1.0,1,01/26/2016,752500,,Condominium,2015,650626.0,658,94104
4928,2121031921,37.75368,-122.4085,1907,2.0,2,11/04/2015,749000,,MultiFamily2To4,,,3264,94110
4929,2127679012,37.775405,-122.466285,1908,1.0,2,10/08/2014,750000,,SingleFamily,,,960,94118
4930,2128418492,37.792781,-122.419998,1923,1.0,1,10/26/2015,745000,,Condominium,,,,94109
4931,2132939331,37.781234,-122.441709,,1.0,2,10/09/2013,750000,,Condominium,,,,94115
4932,89238649,37.770741,-122.421867,1907,1.0,2,01/03/2014,750000,2475,Condominium,2015,764984.0,925,94103
4933,83153604,37.787456,-122.401306,1914,1.0,0,03/11/2016,750000,,Condominium,2015,485026.0,695,94105
4934,82785321,37.789127,-122.429664,1890,1.0,1,,,,Condominium,2015,160491.0,779,94115
4935,15072625,37.794992,-122.434747,1975,1.0,1,05/25/2006,734000,,Condominium,2015,834600.0,665,94123
4936,2099571310,37.796825,-122.424758,1890,1.0,1,,,,Condominium,,,654,94123
4937,69819526,37.777645,-122.39343,2004,1.0,1,04/19/2007,640000,,Condominium,2015,670000.0,798,94107
4938,80750563,37.78691,-122.390925,2002,1.0,1,10/21/2013,655000,,Condominium,2015,668084.0,675,94105
4939,69819226,37.786413,-122.396372,2006,1.0,1,01/23/2012,430000,,Condominium,2015,449392.0,637,94105
4940,15113760,37.749431,-122.507083,1946,2.0,3,07/09/2013,760000,1438,SingleFamily,2015,775184.0,1316,94116
4941,15114077,37.749942,-122.500148,1951,1.0,3,10/03/2013,760000,2996,SingleFamily,2015,775184.0,1214,94116
4942,15115744,37.748869,-122.477415,1940,1.0,2,04/17/2014,775500,1746,SingleFamily,2015,790605.0,1100,94116
4943,15115909,37.7487,-122.48124,1943,2.0,2,07/10/2013,770000,1306,SingleFamily,2015,785382.0,1128,94116
4944,15116252,37.749123,-122.491908,1950,1.0,3,10/31/2013,780000,2996,SingleFamily,2015,795584.0,1324,94116
4945,15116595,37.749018,-122.504418,1946,2.0,3,05/24/2013,760000,2500,SingleFamily,2015,778703.0,1397,94116
4946,15116820,37.747092,-122.506437,1941,1.5,1,09/25/2015,782000,1875,SingleFamily,2015,142047.0,1086,94116
4947,15116825,37.746936,-122.505315,1940,2.0,3,05/30/2013,780000,2996,SingleFamily,2015,799194.0,1294,94116
4948,15116867,37.746983,-122.505799,1939,2.0,3,05/17/2013,770000,2063,SingleFamily,2015,788948.0,1405,94116
4949,15116875,37.74719,-122.504222,1941,2.0,3,05/30/2013,775000,2482,SingleFamily,2015,794071.0,1300,94116
4950,15117217,37.74606,-122.497892,1947,1.0,2,02/14/2014,785000,2500,SingleFamily,2015,800682.0,1012,94116
4951,15117219,37.746052,-122.498064,1947,1.0,,06/07/2013,770000,2495,SingleFamily,2015,788948.0,1012,94116
4952,15117399,37.747397,-122.491789,1945,2.0,2,12/09/2013,765600,3000,SingleFamily,2015,780794.0,1252,94116
4953,15118526,37.74423,-122.504048,1931,1.0,,10/22/2013,785000,3000,SingleFamily,2015,800684.0,1562,94116
4954,15118528,37.744093,-122.504039,1931,1.0,2,10/30/2013,768000,2996,SingleFamily,2015,783344.0,1650,94116
4955,15118697,37.744492,-122.501256,1943,2.0,3,09/04/2014,775000,2996,SingleFamily,2015,60897.0,1005,94116
