,zillow_id,latitude,longitude,year_built,bathrooms,bedrooms,last_sold_date,last_sold_price,property size,home_type,tax_year,tax_value,home_size,zipcode
7352,31098321,40.749469,-73.694931,1958,2.0,4,10/16/2013,607000,60,SingleFamily,2015,393200.0,1260,11040
7353,30675191,40.63724,-73.97184,1920,,0,12/05/2013,400000,3500,VacantResidentialLand,2015,297000.0,3500,11218
7354,32129712,40.714105,-73.8184,1930,3.0,4,05/09/2013,640000,3900,SingleFamily,2015,598000.0,3900,11435
7355,30640607,40.668285,-73.884279,1901,2.0,5,08/12/2005,394490,1800,MultiFamily2To4,2015,440000.0,3100,11207
7356,32086403,40.750595,-73.75689,1970,,,11/13/2013,955000,3433,Duplex,2015,1072000.0,3374,11364
7357,29812449,40.840379,-73.870045,1925,6.0,6,12/10/2015,175000,1568,MultiFamily2To4,2015,291000.0,1320,10460
7358,117451351,40.825577,-73.943562,1890,2.0,2,07/22/2014,823000,2500,MultiFamily2To4,2014,105683.0,1116,10031
7359,29796605,40.829365,-73.8564,1950,2.0,2,06/06/2014,314600,1637,Townhouse,2015,271000.0,1200,10472
7360,2110727674,40.610443,-73.982277,,1.0,1,,,,Cooperative,,,680,11204
7361,29844453,40.847785,-73.81665,1955,3.0,3,,,2613,SingleFamily,2015,547000.0,1836,10465
7362,32278791,40.624579,-74.109604,1925,2.5,4,03/26/2015,350000,2370,SingleFamily,2015,433000.0,1500,10310
7363,32166908,40.675535,-73.846679,1930,,,07/14/2015,475000,2650,SingleFamily,2015,370000.0,1120,11417
7364,124441350,40.75774,-73.71934,1972,1.5,1,09/14/2015,550000,,Cooperative,,,,11005
7365,55502346,40.752578,-73.967521,2001,3.0,2,01/21/2015,3000000,,Condominium,2010,543299.0,1613,10017
7366,32299383,40.633137,-74.152319,1915,,3,06/04/2014,130000,2850,SingleFamily,2015,285000.0,1768,10303
7367,2098868588,40.659876,-73.739704,1930,3.0,3,,,3000,SingleFamily,,,,11422
7368,32185432,40.68883,-73.79257,1940,1.5,2,,,1999,SingleFamily,2015,324000.0,920,11433
7369,79509830,40.753506,-73.884689,,,,11/19/2014,150000,,Cooperative,,,,11372
7370,32127330,40.69087,-73.814,1925,1.0,3,09/09/2015,700000,1211,MultiFamily2To4,2015,371000.0,1716,11419
7371,32061982,40.762735,-73.774045,1955,,,04/18/2014,650000,10032,Duplex,2015,725000.0,1732,11361
7372,62646375,40.68296,-73.993797,2001,3.0,2,06/19/2015,1210000,,MultiFamily2To4,2015,260469.0,1200,11231
7373,96796385,40.777083,-73.95211,1987,1.0,0,11/05/2010,375000,,MultiFamily5Plus,,,,10028
7374,72527746,40.764934,-73.967842,,,,07/26/2013,4100000,,Cooperative,,,,10065
