,zillow_id,homo_info,year_updated,basement,roof,view,heating_sources,heating_system,rooms,neighborhood,school_district
7130,82786521,http://www.zillow.com/homedetails/2395-Diamond-St-San-Francisco-CA-94131/82786521_zpid/,2010,None,Asphalt,Territorial,Gas,,"Dining room, Laundry room, Master bath, Walk-in closet, Pantry",,
7131,89239698,http://www.zillow.com/homedetails/12-Winfield-St-San-Francisco-CA-94110/89239698_zpid/,,,,City,,,Laundry room,,
7132,2099398156,http://www.zillow.com/homedetails/1450-Wallace-Ave-San-Francisco-CA-94124/2099398156_zpid/,,,,,,,,,
7133,15116909,http://www.zillow.com/homedetails/2150-46th-Ave-San-Francisco-CA-94116/15116909_zpid/,2015,Finished,Other,City,,,,,
7134,15117606,http://www.zillow.com/homedetails/2126-30th-Ave-San-Francisco-CA-94116/15117606_zpid/,,,,,,Forced air,"Office, Master bath, Family room, Dining room",,
7135,15118085,http://www.zillow.com/homedetails/2127-16th-Ave-San-Francisco-CA-94116/15118085_zpid/,,,,,,,,,
7136,15187234,http://www.zillow.com/homedetails/50-Urbano-Dr-San-Francisco-CA-94127/15187234_zpid/,,,Composition,Water,Gas,Other,Family room,,
7137,2106229715,http://www.zillow.com/homedetails/2595-38th-Ave-San-Francisco-CA-94116/2106229715_zpid/,,,Other,Water,,,"Dining room, Family room, Office",,
7138,15187467,http://www.zillow.com/homedetails/75-Lunado-Way-San-Francisco-CA-94127/15187467_zpid/,2006,Finished,,,,,"Dining room, Breakfast nook, Family room, Laundry room, Master bath, Walk-in closet",Ingleside Terrace,
7139,2146525897,http://www.zillow.com/homedetails/3855-26th-St-San-Francisco-CA-94131/2146525897_zpid/,,,,,,,,,
7140,15118457,http://www.zillow.com/homedetails/2275-47th-Ave-San-Francisco-CA-94116/15118457_zpid/,,,,Water,,Baseboard,Dining room,,
7141,51082400,http://www.zillow.com/homedetails/1317-Hyde-St-APT-3-San-Francisco-CA-94109/51082400_zpid/,,,,,,,Dining room,,
7142,15072004,http://www.zillow.com/homedetails/1990-Green-St-APT-505-San-Francisco-CA-94123/15072004_zpid/,,,,,,,"Walk-in closet, Master bath",,
7143,15072674,http://www.zillow.com/homedetails/2131-Vallejo-St-APT-3-San-Francisco-CA-94123/15072674_zpid/,,,Composition,,,Forced air,"Office, Family room, Dining room",,
7144,15072749,http://www.zillow.com/homedetails/1998-Broadway-APT-807-San-Francisco-CA-94109/15072749_zpid/,,,Other,,None,Other,,,
7145,15073597,http://www.zillow.com/homedetails/2111-Franklin-St-APT-3-San-Francisco-CA-94109/15073597_zpid/,,,,,,,"Walk-in closet, Office, Master bath, Pantry, Dining room",,
7146,15073656,http://www.zillow.com/homedetails/1895-Pacific-Ave-APT-505-San-Francisco-CA-94109/15073656_zpid/,,,,,,,,,
7147,15073693,http://www.zillow.com/homedetails/1650-Jackson-St-APT-408-San-Francisco-CA-94109/15073693_zpid/,,,,City,,,Dining room,Nob Hill,Nob Hill
7148,15074196,http://www.zillow.com/homedetails/1776-Sacramento-St-APT-406-San-Francisco-CA-94109/15074196_zpid/,,,,,,,,,
7149,15074199,http://www.zillow.com/homedetails/1776-Sacramento-St-APT-409-San-Francisco-CA-94109/15074199_zpid/,,,Other,,,,,,
7150,15074246,http://www.zillow.com/homedetails/1835-Franklin-St-APT-201-San-Francisco-CA-94109/15074246_zpid/,,,,,,,Dining room,PACIFIC HEIGHTS,
7151,15074304,http://www.zillow.com/homedetails/1950-Gough-St-APT-304-San-Francisco-CA-94109/15074304_zpid/,,,,,,Forced air,"Dining room, Walk-in closet, Office",,
7152,15075414,http://www.zillow.com/homedetails/1940-Buchanan-St-San-Francisco-CA-94115/15075414_zpid/,,Unfinished,,City,,Forced air,Dining room,Lower Pacific Heights,
7153,15075623,http://www.zillow.com/homedetails/2109-Bush-St-San-Francisco-CA-94115/15075623_zpid/,,,,,,,,,
7154,15076452,http://www.zillow.com/homedetails/1483-Sutter-St-APT-1104-San-Francisco-CA-94109/15076452_zpid/,,,,City,,,Walk-in closet,,
