"zillow_id","latitude","longitude","year_built","bathrooms","bedrooms","last_sold_date","last_sold_price","property.size","home_type","tax_year","tax_value","home_size","zipcode","list","url"
122725864,40.815243,-73.938217,NA,NA,NA,2014-12-24,237000,NA,"Cooperative",NA,NA,NA,10037,NA,NA
30623287,40.71225,-73.94881,1899,NA,0,2015-06-23,1350000,1540,"Townhouse",2015,1176000,2400,11211,NA,NA
31961832,40.759519,-73.87433,1925,1,3,2014-06-26,425000,2340,"SingleFamily",2015,476000,1284,11369,NA,NA
32144559,40.714124,-73.765565,1925,NA,NA,2013-11-25,275000,3465,"SingleFamily",2015,416000,1200,11423,NA,NA
68312786,40.685825,-74.001602,1920,2,2,2015-05-15,1330000,20125,"Condominium",2015,140433,1549,11231,NA,NA
89335003,40.705043,-74.008117,1987,3,2,2015-04-06,2725000,NA,"Condominium",2014,484805,1651,10005,NA,NA
122552441,40.909122,-73.905525,1962,1,2,2014-11-18,370000,NA,"Cooperative",NA,NA,NA,10471,NA,NA
32072629,40.72612,-73.80966,1930,3,3,2014-03-25,550000,2000,"SingleFamily",2015,446000,1568,11366,NA,NA
119918939,40.90699,-73.905891,NA,NA,NA,2013-09-10,365000,NA,"Cooperative",NA,NA,NA,10471,NA,NA
31553517,40.832705,-73.942545,1915,NA,NA,2015-07-09,1300000,2400,"SingleFamily",2007,529000,5560,10032,NA,NA
72650154,40.725681,-73.856643,1950,1,2,2013-10-03,243000,NA,"Cooperative",NA,NA,NA,11374,NA,NA
32059886,40.768119,-73.78578,1930,1.5,2,2015-03-20,535000,18,"SingleFamily",2015,548000,1842,11361,NA,NA
32226008,40.58096,-73.850155,1935,2,3,2005-03-10,425000,3001,"SingleFamily",2015,405000,1660,11694,"$639,000","http://www.zillow.com/homes/for_sale/32226008_zpid"
79983390,40.751368,-73.718559,NA,NA,NA,2014-10-02,239900,NA,"Cooperative",NA,NA,NA,11004,NA,NA
123033602,40.722766,-73.980743,NA,NA,NA,2015-01-22,265000,NA,"Cooperative",NA,NA,425,10009,NA,NA
30607565,40.69234,-73.95145,1915,3.5,4,2014-07-18,995000,1306,"MultiFamily2To4",2015,575000,2500,11206,NA,NA
30631954,40.669979,-73.907199,1930,NA,NA,2016-02-12,530000,4000,"SingleFamily",2007,249000,4125,11212,NA,NA
80006105,40.776333,-73.989149,2005,2,2,2015-07-14,2050000,NA,"Condominium",2014,304698,1275,10069,NA,NA
32169189,40.662465,-73.85503,2004,6,4,2013-09-03,825000,3163,"Townhouse",2015,641000,3828,11414,NA,NA
30714245,40.60024,-74.001215,1920,NA,NA,2013-05-03,990000,2900,"Triplex",2015,912000,3933,11214,NA,NA
83044299,40.695088,-73.943413,2005,2,3,2013-07-16,395000,1875,"MultiFamily2To4",2015,820000,3011,11206,NA,NA
30715496,40.62944,-73.969775,1925,3,7,2002-10-31,358000,2565,"SingleFamily",2015,688000,1400,11230,"$849,000","http://www.zillow.com/homes/for_sale/30715496_zpid"
